"0001.hk","0011.hk","0293.hk","0941.hk","1299.hk"
108.456764,145.718597,17.956875,93.260811,48.443413
109.021141,143.267273,17.880299,94.369949,47.671406
107.422035,142.540939,17.516565,95.016953,47.513702
105.16449,139.454086,17.28684,92.613808,46.109116
105.070412,140.452759,16.559374,91.458443,46.351288
106.951714,139.635666,16.253075,91.920578,46.302856
106.387329,139.544235,16.233931,93.260811,45.382607
104.317902,137.349533,15.946775,92.613808,44.559231
102.248474,133.874649,14.721573,90.950081,43.590549
99.520592,130.308304,14.242978,90.719009,43.009346
96.510529,127.016304,14.108972,92.52137,42.185966
92.700897,121.621101,13.706952,85.358124,39.522102
96.228325,126.376221,13.209213,85.635414,41.507889
94.347023,124.364418,13.419795,83.324699,40.732948
97.73336,127.382103,13.879246,86.929428,41.168858
98.391815,126.284775,13.706952,84.849777,41.70163
97.168976,126.101875,13.400651,86.790779,41.507889
95.193611,125.918983,13.209213,85.727844,40.829819
96.510529,123.907196,13.151782,84.803551,40.20018
95.946121,125.736099,13.113495,84.572487,40.151741
95.005486,125.553207,12.998632,83.938011,39.715836
97.451157,132.320084,13.496369,86.193909,40.636082
103.377251,135.246307,13.749915,88.308807,42.670303
101.68409,132.228668,13.671901,86.193909,41.459461
98.674011,133.051636,13.788922,86.052917,41.071987
98.956207,132.777344,13.710908,85.770935,41.556328
98.015549,132.96019,13.769419,84.736977,40.829819
99.708725,134.606216,14.081472,87.885818,41.750061
97.545227,134.148987,14.315515,86.240906,41.846931
97.451157,132.594437,14.315515,86.61689,41.846931
97.357101,132.96019,14.178989,87.509842,41.362591
97.546509,134.057571,14.432534,91.081665,41.168858
96.125931,130.765549,14.315515,89.671738,40.393917
95.557701,129.576736,14.178989,89.248756,39.328365
95.463005,129.759659,14.2375,88.731789,39.328365
93.379478,127.56498,14.022964,86.522896,38.117516
94.894768,127.290665,14.159487,86.287903,38.795593
97.925331,129.393875,14.452037,88.637794,41.217289
98.398865,131.588531,14.705582,89.013763,41.362591
98.304161,129.028076,14.666575,87.885818,41.314163
98.588264,133.051636,14.627568,89.154762,42.670303
97.167694,129.759659,14.510549,87.462852,42.960911
96.978287,130.125443,14.335017,86.099915,43.251518
99.251213,129.302429,14.530051,87.556839,43.590549
100.00885,127.656441,14.608065,86.992867,42.86404
100.387672,128.479416,14.393528,85.72393,42.47657
101.997658,129.576736,14.939623,88.073807,43.299953
101.808258,130.399765,14.959126,88.543785,44.752968
101.808258,130.768387,14.959126,90.188713,44.365494
100.766495,130.768387,14.686079,89.953728,44.462364
101.808258,131.413483,14.822603,87.180855,43.978027
102.471184,133.34874,15.134658,87.744827,45.28574
100.861198,132.150726,14.92012,88.214806,45.188877
101.713554,133.34874,14.998135,89.295761,45.431046
101.524132,133.34874,15.115154,88.825775,45.382607
100.861198,132.058563,14.939623,87.932831,45.527908
100.861198,131.413483,15.056643,87.227859,44.171757
98.20945,130.123322,14.74459,86.851875,44.171757
98.682968,132.335022,15.154161,87.227859,44.995136
100.198265,133.533051,14.959126,89.295761,46.448158
99.251213,132.150726,15.037141,89.530746,46.254417
98.588264,130.860535,14.939623,87.69783,46.302856
97.830627,131.413483,14.842107,85.72393,46.787189
96.504761,130.215469,14.413031,85.206955,45.770081
96.69416,131.136993,14.374024,84.830971,45.237309
98.398865,133.34874,14.686079,87.556839,46.932495
96.883583,130.491928,14.608065,85.112961,46.157555
95.652405,129.109589,14.217997,84.173004,44.849834
96.599457,131.229156,14.315515,84.830971,45.092003
96.599457,130.123322,14.257004,84.877968,44.995136
98.304161,132.519348,14.510549,85.488937,45.818512
98.967087,132.887955,14.842107,86.240906,46.399727
98.493568,132.427185,14.666575,85.958908,46.448158
98.493568,131.50563,14.491045,86.052917,46.302856
98.114746,130.399765,14.217997,85.253952,46.157555
97.451813,131.044861,13.866936,84.689972,46.254417
95.841812,129.754669,13.301336,83.468033,45.043571
96.315331,129.478226,13.340343,82.810059,44.849834
97.830627,131.044861,13.047791,84.971962,46.254417
98.114746,131.874268,13.086799,85.15995,46.98093
97.830627,131.321335,13.008785,84.689972,46.88406
98.20945,131.782104,12.794247,84.877968,46.932495
98.020035,132.335022,13.008785,85.15995,46.98093
96.410042,131.321335,12.716232,84.266998,46.351288
96.410042,132.058563,12.950274,84.173004,46.641891
95.841812,132.427185,12.794247,84.454987,46.157555
95.936523,132.519348,12.794247,84.219994,45.140438
96.125931,133.072281,12.657722,82.575073,44.413933
94.800056,132.427185,12.423681,82.528084,43.978027
96.978287,132.335022,12.599213,84.125999,44.995136
95.841812,135.652603,12.735737,83.750023,45.624779
97.546509,133.256577,12.716232,82.810059,45.188877
97.546509,132.795822,12.87226,82.481079,45.188877
97.925331,133.809509,13.008785,83.045052,45.527908
98.872383,134.91539,13.164812,82.998062,45.334179
99.156502,135.284012,13.106301,83.233047,45.527908
98.398865,134.178146,12.950274,82.340088,44.946705
99.345909,135.929108,13.028288,82.481079,44.946705
99.156502,136.48204,13.086799,82.105103,44.89827
99.061798,135.929108,13.086799,82.246101,45.140438
97.546509,131.782104,12.813751,79.990204,44.026459
97.167694,133.256577,12.911267,77.922302,44.220196
97.072983,131.136993,12.833254,77.54631,43.638985
95.084175,126.621407,12.657722,75.572411,42.282837
94.08976,127.174347,12.716232,77.123344,42.379704
92.763885,124.501839,12.599213,75.760399,40.975117
91.864197,123.119492,12.443185,74.867439,40.684513
93.805656,123.119492,12.443185,76.700356,41.750061
92.716537,123.395958,12.657722,76.418373,41.362591
92.385071,121.921486,12.443185,75.6194,41.120422
91.58007,119.801903,12.07262,75.290421,40.054874
91.390656,118.972519,12.228647,77.828308,41.120422
88.644211,115.378456,11.760565,75.196419,39.134632
88.265381,111.876556,12.18964,75.196419,39.086193
89.543915,113.258881,12.07262,77.687317,40.49078
89.21244,115.747078,12.092123,78.72126,41.120422
88.123329,113.258881,12.07262,77.35833,40.49078
88.21804,112.06086,11.877586,78.674255,41.604763
89.496552,114.364746,11.741061,79.614212,40.926685
91.248604,118.419571,11.877586,80.554176,41.507889
92.385071,117.682335,11.760565,80.366188,40.829819
91.958893,118.143105,11.624042,80.601166,39.667404
90.301559,117.405876,11.507021,80.601166,37.730045
91.769485,118.050964,11.409503,80.507179,38.650288
90.112144,118.880356,11.155959,79.520226,38.165955
88.644211,114.733368,10.863408,77.07634,36.955105
87.081566,114.364746,11.077946,77.264328,36.08329
88.549507,116.576485,11.311987,78.110291,37.00354
89.875381,116.207855,11.604538,78.486267,37.342571
90.017441,116.300003,11.311987,78.016296,37.051968
90.775078,117.129395,11.799573,79.379227,38.020649
90.538322,116.392159,11.780069,79.285225,38.117516
90.917137,123.948898,12.033614,79.849205,38.553417
90.348907,120.631302,12.13113,79.614212,38.844025
90.490967,120.815628,12.092123,79.050247,37.923782
88.738914,119.801903,11.897089,78.063301,38.262817
90.064789,121.737183,12.501695,79.379227,39.376804
88.975677,121.092087,12.092123,77.264328,38.456558
89.780678,122.013634,12.482192,78.627266,39.037762
92.52713,123.764603,12.989281,80.131195,40.636082
92.385071,124.317497,13.145308,79.943199,41.071987
93.616241,127.082169,13.320839,80.554176,40.732948
92.9533,123.049301,13.184316,79.567215,40.393917
91.958893,122.299004,13.047791,79.708221,40.103313
92.148308,123.049301,13.691404,80.037201,40.297043
93.09536,122.674149,13.145308,79.943199,40.732948
93.90036,123.23687,13.476866,80.366188,41.653191
93.853004,124.268562,13.496369,80.977158,41.314163
93.663597,124.268562,13.359846,80.366188,41.217289
93.853004,124.362335,13.340343,81.165146,40.975117
93.616241,127.457336,13.457363,79.473221,41.120422
95.273582,126.707024,13.535378,79.990204,41.362591
94.705345,125.862938,13.26233,79.33223,41.507889
96.978287,125.300224,12.87226,78.768257,41.217289
96.031219,125.112633,12.774744,78.768257,40.926685
94.989471,124.549911,12.657722,78.298279,40.539211
94.989471,126.425659,12.63822,78.909248,41.120422
96.883583,127.551102,13.008785,79.802208,42.525005
95.368286,128.582794,13.106301,81.25914,42.573437
95.463005,127.269745,12.87226,80.507179,41.798496
93.568893,126.238106,12.813751,79.896202,41.362591
94.515945,125.862938,12.863531,79.802208,41.120422
93.995056,126.425659,12.664406,81.071144,41.314163
93.758293,125.581558,12.724143,81.165146,41.895367
93.710938,127.082169,12.763968,80.601166,41.750061
92.432419,126.988365,12.724143,80.789162,42.0891
93.947701,129.239304,13.122396,83.139038,43.203083
93.758293,130.177155,13.221958,84.40799,44.268631
94.042412,130.552307,13.182133,84.454987,43.542118
92.290367,130.364746,13.142307,84.595985,43.203083
92.243019,131.583969,13.281696,84.173004,43.687416
92.006256,131.959122,13.202045,83.374039,43.251518
92.337723,133.17836,13.341434,86.381905,44.510799
91.769485,131.959122,13.241871,85.817924,45.334179
91.295959,131.959122,13.122396,85.065964,45.818512
90.348907,132.709427,12.903357,85.582947,45.818512
89.543915,133.365936,12.763968,86.099915,45.866947
89.21244,135.335464,12.146678,85.958908,45.624779
88.075974,132.240524,12.345804,83.609016,45.237309
87.507744,130.364746,12.166592,82.62207,44.026459
88.075974,130.177155,12.226329,82.763062,43.493683
87.697159,130.364746,12.226329,82.62207,44.365494
87.791855,128.582794,12.166592,80.695168,43.057781
87.649811,129.239304,12.047115,80.460182,43.154648
88.880974,128.77034,12.226329,81.776115,43.507412
88.123329,128.582794,12.106853,80.836159,42.576511
87.318336,126.894615,12.166592,80.554176,42.331535
86.323929,124.362335,12.067028,78.909248,42.135551
86.60804,124.456123,12.186503,80.1782,42.772488
87.081566,126.442131,12.166592,80.554176,42.968464
86.115074,126.632835,11.947553,78.956245,42.184547
85.486839,126.251404,11.808164,78.392273,41.841583
86.211716,128.444611,12.067028,79.33223,42.282539
85.196899,127.204964,12.007291,79.755203,42.331535
85.776794,127.395683,12.186503,79.050247,41.988567
86.888268,130.733154,12.226329,81.964104,43.40942
86.598312,130.923874,12.325891,81.729126,43.605396
87.323189,130.828506,12.246242,81.917114,43.94836
87.274879,131.019211,12.067028,82.716072,43.899364
87.178223,131.496002,12.106853,83.280037,44.536301
86.163399,132.640274,12.186503,84.971962,44.683285
87.323189,133.403091,12.206416,85.015785,44.977257
88.289696,133.593842,12.226329,83.920334,45.222229
89.014565,134.16597,12.106853,83.967964,45.173229
89.59446,134.642731,12.266153,86.778015,45.663181
89.401169,133.403091,12.226329,86.063599,45.565189
88.772934,130.542435,12.027203,84.825272,45.712177
86.839943,127.586395,11.847989,83.158295,44.046352
86.06675,126.537483,11.927639,82.682014,43.80138
85.631813,125.679276,11.828077,82.205742,44.095348
84.906944,123.772156,11.449738,80.491127,43.40942
85.728462,123.962868,11.648864,80.872154,43.703388
87.419838,125.869987,11.728514,81.348434,44.144344
87.999748,126.060692,11.847989,82.443878,44.095348
87.709785,126.251404,11.887815,82.539131,44.585293
88.579643,126.156059,11.967465,82.824898,45.271225
84.085419,123.772156,11.529388,79.776718,43.850376
80.702682,124.630356,11.051486,81.443687,43.605396
79.252922,124.248947,10.77271,81.443687,43.556408
80.074448,125.202507,11.051486,83.539307,43.99736
81.717506,126.156059,11.270524,84.444252,45.418205
81.572525,127.204964,11.409913,85.682564,45.761169
80.219421,126.728195,11.290437,84.396622,45.271225
79.639526,125.583931,11.330262,82.634392,44.683285
80.557701,126.251404,11.230699,84.253731,44.977257
79.156281,125.583931,11.210787,83.301178,44.928257
79.832825,126.442131,11.449738,84.491875,45.271225
81.910797,126.537483,11.708602,86.778015,46.153126
83.070595,127.204964,11.947553,86.968529,46.202126
83.553841,127.967812,12.146678,88.111595,46.594082
84.133751,128.063187,12.266153,88.778381,47.084034
84.858627,129.302811,12.505105,89.349922,47.67197
84.906944,129.302811,12.146678,89.064148,47.86795
84.616997,130.065643,12.246242,89.921455,48.210911
86.211716,130.637787,12.305979,93.35067,48.308903
85.438522,130.637787,12.166592,91.969452,48.063931
85.825127,129.398163,12.226329,92.398102,48.014935
87.274879,131.40065,12.365717,93.112526,48.847843
88.289696,132.258835,12.365717,93.255409,48.651867
88.048065,132.640274,12.405542,92.92202,48.063931
87.758118,132.06813,12.54493,91.112144,47.084034
88.676292,131.877426,12.644493,93.303032,48.014935
88.676292,131.877426,12.644493,93.303032,48.014935
88.193047,128.826035,12.206416,91.016899,47.231018
88.579643,127.395683,12.305979,90.540619,47.133026
89.401169,127.777107,12.525018,91.874199,48.259907
90.995888,129.016754,12.883444,93.064888,48.602871
91.092537,128.158524,12.744056,91.921829,48.308903
90.802589,128.349243,12.584756,91.493179,48.112923
90.126038,127.967812,12.485192,92.112335,48.504883
92.54229,128.349243,12.644493,94.303223,48.572792
94.523621,129.016754,12.744056,94.112709,48.720428
94.523621,129.874939,12.803793,93.35067,47.834606
95.103508,130.637787,11.867902,92.350471,47.982246
94.861893,130.923874,11.290437,93.779312,47.982246
93.992035,130.539352,11.071399,94.017448,47.34248
94.765244,130.443222,11.071399,93.207771,47.53933
95.683418,129.866486,11.210787,93.255409,47.834606
95.490112,129.962601,11.091311,92.731499,47.637756
94.716911,130.058731,11.270524,91.921829,47.293266
95.44178,129.962601,11.170961,91.683685,47.637756
95.538429,130.250977,11.111223,92.017082,47.440907
95.828384,131.308365,11.071399,92.255219,48.031456
96.359955,130.827728,11.111223,91.255043,48.277515
96.214989,130.250977,11.170961,91.534668,48.671219
99.356117,131.692886,11.230699,91.970093,49.163345
99.742699,132.077362,11.389999,92.937683,49.606258
98.776199,132.269638,11.389999,92.40551,49.606258
98.67955,133.134766,11.34,91.389526,49.999958
98.776199,133.423141,11.44,93.13121,50.098385
99.589081,134.961166,11.4,94.824493,50.492085
96.863274,133.423141,11.32,91.437912,49.310982
96.619904,132.654129,11.1,92.647408,49.163345
97.057976,132.750259,11.16,92.40551,49.261768
97.204002,133.423141,11.16,91.437912,49.557045
98.518227,134.288284,11.24,92.260368,50.442871
96.960632,133.999893,11.18,92.260368,49.803104
97.057976,134.192154,11.14,92.889305,49.950745
97.739433,134.57663,11.1,93.905289,50.590511
97.642082,133.807632,11.06,93.227959,50.984211
96.571228,134.096008,10.94,92.115227,50.393661
96.376526,133.615387,10.98,92.018463,51.082638
96.717247,134.48053,10.92,92.840927,51.42712
97.057976,134.57663,10.92,93.082817,51.722397
95.987129,133.134766,10.8,90.808975,50.738148
96.814606,134.096008,10.86,92.550652,51.673183
96.814606,134.48053,10.88,93.082817,51.870033
96.619904,134.192154,10.82,93.905289,52.509796
96.084473,135.826294,10.88,94.29232,53.001923
95.40303,135.922409,10.88,93.324722,53.100349
92.871933,134.192154,10.74,92.163605,52.263733
93.553375,135.249542,10.76,92.211998,52.263733
92.871933,133.999893,10.26,90.905731,50.688934
94.332176,135.537933,10.28,90.808975,51.279484
93.894096,136.018555,10.34,89.164063,50.787357
94.867599,136.987335,10.44,90.276794,51.771606
95.062309,136.406082,10.5,89.84137,51.476334
95.597725,136.599823,10.48,89.018921,51.919247
95.597725,136.599823,10.48,89.018921,51.919247
96.32785,138.537415,10.54,87.954559,51.870033
95.889786,138.246765,10.5,87.567528,52.16531
94.721581,136.696701,10.4,87.083717,51.476334
93.699402,135.534134,10.2,86.212891,50.590511
92.57988,134.662231,10.06,85.342049,50.590511
93.407349,135.727921,10.22,85.970985,48.179092
94.332176,137.084213,10.36,86.164513,47.736183
93.310005,135.921661,10.22,84.906631,47.194843
92.920593,136.115433,10.22,84.56797,46.89957
92.969276,136.793594,10.3,84.471222,47.047203
93.310005,135.534134,10.52,85.293671,47.736183
93.553375,135.631042,10.48,85.922615,47.736183
91.557701,134.274719,10.4,83.987411,46.702717
92.239151,137.084213,10.52,84.277687,47.785393
91.314331,138.343674,10.46,81.520042,47.588543
90.876251,139.021805,10.42,81.278145,47.047203
91.119629,141.928192,10.5,82.052223,46.456654
91.022278,138.828049,10.52,81.665176,46.407444
91.119629,138.924911,10.52,82.003845,46.407444
92.385178,140.474991,10.52,81.858704,46.112164
93.212654,140.474991,10.52,81.471657,45.915318
93.94278,141.734451,10.58,81.665176,46.456654
93.650726,141.346924,10.54,81.278145,46.456654
93.06662,142.412582,10.5,80.842728,46.358227
92.57988,143.187622,10.5,81.181381,46.555077
92.093132,142.218826,10.48,82.003845,46.358227
91.89843,141.831299,10.42,81.278145,46.309013
91.995773,142.412582,10.5,81.907082,46.555077
92.190475,141.637543,10.48,83.164955,46.112164
91.314331,141.250031,10.38,81.568428,44.586578
90.924927,141.54068,10.44,80.745964,44.832638
91.362999,142.606339,10.36,81.03624,44.537365
90.146126,142.800095,10.38,81.326523,44.389725
89.951424,143.962662,10.4,81.76194,43.553112
90.486847,143.381378,10.42,80.891106,43.011776
89.610703,142.800095,10.24,79.391335,43.110199
88.831902,142.315704,10.24,79.294563,43.799175
88.929253,142.412582,10.16,79.536469,43.405476
87.858406,141.831299,10.12,79.149429,43.060986
87.615028,142.412582,10.18,78.617256,43.700752
86.446831,141.056274,10.16,77.988312,43.159412
85.862717,141.54068,10.12,79.197815,43.208626
85.570679,140.76564,10.26,79.101051,43.356262
86.398148,140.862503,10.24,78.278595,43.405476
85.765373,139.409317,10.22,77.891556,43.257839
85.765373,138.634293,10.2,78.423737,43.159412
85.570679,138.731171,10.16,78.810768,42.618073
85.570679,139.79686,10.2,79.536469,43.060986
